player_id,overall,potential,club_team_id,league_name,nationality_name,st,lw,cf,rw,cam,lm,cm,rm,lwb,cdm,rwb,lb,cb,rb,gk,alternative_positions
215914,86,86,607.0,Pro League,France,74,75,75,75,79,79,82,79,84,86,84,84,84,84,23,['CM']
216267,86,86,9.0,Premier League,Scotland,75,79,78,79,82,84,84,84,86,85,86,86,82,86,21,[]
223848,86,86,605.0,Pro League,Serbia,85,80,82,80,86,84,86,84,83,86,83,82,84,82,21,[]
243812,85,91,243.0,La Liga,Brazil,84,84,84,84,87,87,79,87,65,60,65,61,49,61,19,"['LW', 'ST']"
256630,85,91,32.0,Bundesliga,Germany,78,83,82,83,87,86,85,86,73,73,73,69,60,69,22,['CM']
232656,85,90,47.0,Serie A,France,82,81,80,81,81,84,81,84,86,82,86,85,82,85,20,['LM']
237383,85,90,44.0,Serie A,Italy,61,65,63,65,68,71,75,71,82,84,82,83,86,83,20,[]
237692,85,90,10.0,Premier League,England,80,84,84,84,88,87,85,87,76,74,76,72,63,72,22,['RW']
241486,85,89,241.0,La Liga,France,67,69,67,69,72,75,76,75,83,84,83,85,87,85,23,['RB']
231677,85,88,11.0,Premier League,England,88,84,85,84,86,86,79,86,68,65,68,65,59,65,21,"['LM', 'ST']"
224458,85,87,9.0,Premier League,Portugal,86,82,84,82,84,83,80,83,72,71,72,70,68,70,21,['LW']
234378,85,87,1.0,Premier League,England,74,71,73,71,78,77,83,77,82,86,82,82,85,82,20,['CM']
203574,85,86,10.0,Premier League,England,70,71,71,71,76,76,80,76,82,85,82,83,86,83,20,['RB']
212218,85,86,112139.0,Pro League,Spain,68,65,66,65,71,71,77,71,79,85,79,81,86,81,21,[]
226753,85,86,11.0,Premier League,Cameroon,40,37,39,37,45,43,45,43,35,40,35,35,35,35,86,[]
186345,85,85,13.0,Premier League,England,75,77,77,77,80,82,85,82,85,85,85,84,82,84,21,[]
188943,85,85,1824.0,Bundesliga,Germany,33,27,30,27,32,31,31,31,31,32,31,31,31,31,85,[]
192387,85,85,46.0,Serie A,Italy,85,79,83,79,82,80,75,80,63,62,63,61,58,61,20,[]
192629,85,85,450.0,La Liga,Spain,85,85,85,85,85,85,79,85,64,62,64,60,53,60,24,[]
193041,85,85,73.0,Ligue 1,Costa Rica,37,34,36,34,42,39,41,39,35,38,35,34,35,34,85,[]
197445,85,85,243.0,La Liga,Austria,80,79,79,79,83,83,85,83,85,85,85,85,85,85,21,['LB']
201535,85,85,11.0,Premier League,France,69,65,66,65,70,69,74,69,78,83,78,81,85,81,22,[]
202811,85,85,2.0,Premier League,Argentina,40,37,39,37,46,44,48,44,38,42,38,37,36,37,85,[]
205452,85,85,243.0,La Liga,Germany,70,66,67,66,70,72,75,72,81,84,81,83,85,83,23,[]
206517,85,85,10.0,Premier League,England,80,84,83,84,85,85,85,85,74,73,74,70,64,70,21,['LM']
208128,85,85,44.0,Serie A,Turkey,79,81,81,81,85,84,85,84,80,82,80,78,73,78,21,['CDM']
209658,85,85,21.0,Bundesliga,Germany,85,82,83,82,85,85,85,85,84,85,84,84,85,84,22,['CDM']
209981,85,85,605.0,Pro League,Morocco,33,28,31,28,37,34,39,34,31,35,31,30,31,30,85,[]
209989,85,85,1.0,Premier League,Ghana,77,77,78,77,82,81,85,81,82,85,82,81,83,81,20,['CM']
210935,85,85,111974.0,Serie A,Italy,83,84,84,84,85,85,80,85,65,64,65,60,54,60,16,['RM']
213345,85,85,21.0,Bundesliga,France,82,84,83,84,85,85,78,85,63,58,63,58,48,58,16,['RM']
217870,85,85,48.0,Serie A,Italy,77,77,76,77,78,80,79,80,85,82,85,84,83,84,19,[]
224334,85,85,481.0,La Liga,Argentina,79,80,80,80,84,84,85,84,85,85,85,85,83,85,23,['LM']
241637,84,89,243.0,La Liga,France,78,76,77,76,82,81,84,81,82,86,82,82,84,82,20,['CM']
226754,84,88,47.0,Serie A,Algeria,78,80,80,80,83,83,84,83,83,85,83,82,81,82,23,"['CM', 'CAM']"
232756,84,88,47.0,Serie A,England,62,61,60,61,63,65,67,65,79,79,79,81,86,81,20,[]
241852,84,88,2.0,Premier League,France,76,83,80,83,84,85,78,85,71,66,71,66,53,66,20,['LM']
251566,84,88,1.0,Premier League,Brazil,83,84,83,84,84,85,77,85,69,65,69,66,60,66,17,['LM']
233934,84,87,1.0,Premier League,England,37,36,39,36,44,41,46,41,35,42,35,34,33,34,85,[]
237679,84,87,73.0,Ligue 1,France,86,83,84,83,85,84,77,84,65,61,65,62,55,62,20,['RM']
239301,84,87,11.0,Premier League,Argentina,72,73,73,73,77,78,81,78,83,86,83,84,86,84,21,[]
239580,84,87,45.0,Serie A,Brazil,68,62,63,62,64,66,67,66,76,78,76,79,85,79,20,[]
247851,84,87,13.0,Premier League,Brazil,79,80,80,80,84,83,86,83,83,86,83,82,82,82,21,['CDM']
212190,84,86,22.0,Bundesliga,Germany,67,61,63,61,68,67,74,67,77,83,77,80,86,80,22,['RB']
224293,84,86,605.0,Pro League,Portugal,74,75,75,75,81,79,85,79,81,85,81,80,78,80,22,['CM']
227127,84,86,457.0,La Liga,Spain,33,29,31,29,33,32,33,32,31,34,31,31,32,31,85,[]
232580,84,86,1.0,Premier League,Brazil,63,57,60,57,63,63,70,63,75,82,75,78,86,78,20,[]
235212,84,86,73.0,Ligue 1,Morocco,81,81,80,81,83,85,82,85,85,82,85,84,79,84,19,['RWB']
237086,84,86,21.0,Bundesliga,Korea Republic,60,58,59,58,63,64,69,64,76,81,76,79,86,79,21,[]
238074,84,86,5.0,Premier League,England,80,80,80,80,82,83,82,83,84,83,84,84,84,84,21,['RWB']
212194,84,85,22.0,Bundesliga,Germany,82,83,82,83,85,85,85,85,75,73,75,71,62,71,22,"['RM', 'CM']"
213648,84,85,18.0,Premier League,Denmark,75,73,75,73,78,77,83,77,80,85,80,79,82,79,20,['CM']
220697,84,85,18.0,Premier League,England,78,83,82,83,85,85,84,85,72,72,72,67,60,67,22,"['RM', 'CM']"
220814,84,85,73.0,Ligue 1,France,71,69,68,69,71,73,73,73,82,81,82,83,85,83,21,['LB']
225193,84,85,457.0,La Liga,Spain,83,81,82,81,84,83,85,83,83,85,83,83,85,83,22,"['CAM', 'LM']"
230666,84,85,1.0,Premier League,Brazil,85,84,85,84,85,85,78,85,65,63,65,62,57,62,21,['RW']
233419,84,85,241.0,La Liga,Brazil,84,84,83,84,85,85,81,85,73,71,73,71,65,71,21,[]
235805,84,85,45.0,Serie A,Italy,83,83,83,83,85,85,80,85,74,71,74,70,64,70,19,"['LW', 'RW']"
241084,84,85,9.0,Premier League,Colombia,83,84,83,84,84,85,77,85,65,61,65,61,53,61,22,['LM']
164240,84,84,5.0,Premier League,Brazil,69,66,67,66,73,71,80,71,79,84,79,80,84,80,21,[]
177683,84,84,44.0,Serie A,Switzerland,35,32,34,32,39,37,40,37,33,37,33,32,32,32,84,[]
185122,84,84,112172.0,Bundesliga,Hungary,34,29,31,29,34,34,35,34,34,36,34,33,36,33,84,[]
188377,84,84,10.0,Premier League,England,77,76,76,76,79,81,81,81,84,84,84,84,84,84,22,[]
189509,84,84,9.0,Premier League,Spain,76,80,79,80,84,83,84,83,79,82,79,77,74,77,20,[]
189596,84,84,21.0,Bundesliga,Germany,84,81,82,81,84,84,84,84,73,73,73,70,66,70,22,"['CF', 'ST']"
189881,84,84,52.0,Serie A,England,65,59,60,59,63,65,69,65,77,80,77,80,84,80,25,[]
192505,84,84,52.0,Serie A,Belgium,84,79,81,79,81,81,75,81,62,61,62,59,59,59,21,[]
192984,84,84,175.0,Bundesliga,Belgium,35,29,31,29,35,34,36,34,32,35,32,32,32,32,84,[]
193747,84,84,240.0,La Liga,Spain,78,78,78,78,83,83,84,83,84,84,84,82,81,82,23,['CM']
198706,84,84,46.0,Serie A,Spain,77,80,81,80,84,82,84,82,74,75,74,71,65,71,19,[]
201024,84,84,605.0,Pro League,Senegal,68,63,65,63,68,69,72,69,78,81,78,80,84,80,20,[]
202556,84,84,240.0,La Liga,Netherlands,84,84,83,84,84,84,80,84,64,62,64,59,53,59,22,"['LW', 'ST']"
203841,84,84,13.0,Premier League,England,33,29,32,29,35,34,37,34,31,36,31,30,32,30,84,[]
206113,84,84,21.0,Bundesliga,Germany,82,83,82,83,84,84,80,84,69,66,69,64,56,64,21,"['ST', 'LM']"
207862,84,84,25.0,Bundesliga,Germany,71,65,67,65,71,71,76,71,80,84,80,81,84,81,21,[]
208418,84,84,111674.0,Pro League,Belgium,82,83,82,83,84,84,81,84,76,73,76,74,67,74,21,['LWB']
209499,84,84,607.0,Pro League,Brazil,76,73,74,73,78,78,83,78,82,84,82,82,84,82,21,[]
210008,84,84,45.0,Serie A,France,82,80,81,80,83,83,84,83,84,84,84,83,84,83,21,['LM']
210035,84,84,32.0,Bundesliga,Spain,78,81,80,81,84,84,84,84,84,82,84,84,78,84,21,['LM']
212616,84,84,240.0,La Liga,Argentina,80,81,81,81,84,84,84,84,84,84,84,82,80,82,22,[]
216435,84,84,48.0,Serie A,Slovakia,75,79,79,79,83,82,84,82,82,84,82,81,78,81,21,['CDM']
222492,84,84,21.0,Bundesliga,Germany,84,84,83,84,84,84,78,84,67,63,67,63,56,63,22,['LM']
226161,84,84,240.0,La Liga,Spain,83,81,81,81,84,84,84,84,84,84,84,84,81,84,22,"['CM', 'RB']"
232363,84,84,73.0,Ligue 1,Slovakia,62,59,59,59,63,65,69,65,78,82,78,81,84,81,22,[]
264240,83,90,241.0,La Liga,Spain,75,80,79,80,85,84,86,84,81,82,81,78,73,78,21,['LW']
243715,83,89,1.0,Premier League,France,64,65,65,65,69,72,74,72,80,83,80,82,85,82,19,[]
247090,83,89,5.0,Premier League,Argentina,79,77,79,77,84,82,86,82,80,84,80,79,79,79,19,['CDM']
234396,83,88,21.0,Bundesliga,Canada,80,82,80,82,83,85,81,85,84,81,84,83,79,83,21,['LM']
242516,83,88,9.0,Premier League,Netherlands,83,83,83,83,84,84,77,84,66,63,66,63,57,63,20,['LW']
246430,83,88,45.0,Serie A,Serbia,85,78,81,78,80,79,72,79,58,56,58,55,52,55,20,[]
247819,83,88,22.0,Bundesliga,Germany,73,68,70,68,74,73,77,73,79,83,79,81,86,81,22,[]
253149,83,88,32.0,Bundesliga,Netherlands,71,80,76,80,80,83,78,83,83,77,83,81,74,81,21,['RM']
244260,83,87,112172.0,Bundesliga,Spain,78,81,81,81,86,84,83,84,72,71,72,67,59,67,24,['CF']
251809,83,87,13.0,Premier League,Netherlands,61,59,60,59,65,65,72,65,76,82,76,78,85,78,20,[]
230869,83,86,448.0,La Liga,Spain,34,28,30,28,34,34,36,34,33,35,33,32,33,32,85,[]
241464,83,86,2.0,Premier League,Spain,63,63,63,63,69,70,75,70,80,84,80,82,86,82,22,[]
213661,83,85,241.0,La Liga,Denmark,59,61,60,61,66,68,73,68,79,83,79,80,85,80,19,[]
216460,83,85,240.0,La Liga,Uruguay,60,56,56,56,59,60,65,60,75,79,75,78,85,78,20,[]
225116,83,85,48.0,Serie A,Italy,34,28,30,28,31,31,30,31,29,30,29,29,30,29,84,[]
229582,83,85,52.0,Serie A,Italy,62,56,58,56,60,62,68,62,75,80,75,77,85,77,20,[]
225375,83,84,21.0,Bundesliga,Austria,77,77,76,77,80,81,82,81,84,84,84,84,83,84,22,['CM']
225659,83,84,449.0,La Liga,Argentina,69,66,69,66,72,70,78,70,78,84,78,78,84,78,21,[]
226851,83,84,44.0,Serie A,France,73,70,70,70,73,75,78,75,83,84,83,84,84,84,21,['RB']
227236,83,84,48.0,Serie A,Cameroon,78,77,78,77,80,80,81,80,81,84,81,81,84,81,20,['CM']
228251,83,84,52.0,Serie A,Italy,81,81,82,81,84,84,84,84,81,82,81,80,78,80,21,"['CM', 'CF']"
229391,83,84,144.0,Premier League,Portugal,75,71,73,71,75,75,79,75,80,84,80,80,84,80,19,['CM']
230142,83,84,457.0,La Liga,Spain,82,82,82,82,84,84,79,84,66,63,66,62,53,62,21,"['RM', 'LW']"
234236,83,84,32.0,Bundesliga,Czech Republic,84,79,81,79,82,80,74,80,60,60,60,57,56,57,23,[]
155862,83,83,481.0,La Liga,Spain,76,69,71,69,75,72,78,72,76,83,76,78,83,78,21,[]
167948,83,83,18.0,Premier League,France,33,33,34,33,41,39,43,39,37,40,37,36,32,36,83,[]
178603,83,83,22.0,Bundesliga,Germany,71,66,68,66,73,72,79,72,79,83,79,80,83,80,20,[]
180930,83,83,326.0,Super Lig,Bosnia and Herzegovina,83,76,80,76,81,78,77,78,61,65,61,58,60,58,23,[]
183898,83,83,234.0,Liga Portugal,Argentina,80,83,83,83,83,83,83,83,72,71,72,69,61,69,21,"['RW', 'RM']"
188350,83,83,22.0,Bundesliga,Germany,81,82,82,82,83,83,82,83,73,71,73,69,62,69,23,['CF']
189332,83,83,112893.0,Major League Soccer,Spain,79,81,79,81,83,83,83,83,83,82,83,83,78,83,22,[]
189511,83,83,112893.0,Major League Soccer,Spain,72,71,73,71,79,76,83,76,78,83,78,77,81,77,20,[]
190460,83,83,11.0,Premier League,Denmark,77,79,79,79,83,83,83,83,70,71,70,65,57,65,20,['CDM']
193301,83,83,66.0,Ligue 1,France,83,81,82,81,83,83,80,83,66,67,66,63,61,63,19,[]
199451,83,83,69.0,Ligue 1,France,83,83,83,83,83,83,79,83,66,64,66,62,56,62,20,[]
199845,83,83,44.0,Serie A,Italy,63,57,60,57,65,63,73,63,75,83,75,77,83,77,22,[]
200724,83,83,243.0,La Liga,Spain,61,63,61,63,65,69,71,69,81,81,81,82,83,82,20,"['LB', 'RB']"
201153,83,83,240.0,La Liga,Spain,83,80,81,80,82,82,74,82,61,58,61,57,53,57,16,[]
202648,83,83,453.0,La Liga,Spain,80,81,81,81,83,83,83,83,81,82,81,80,77,80,19,"['CDM', 'CAM']"
202652,83,83,5.0,Premier League,England,80,82,81,82,83,83,78,83,69,65,69,66,57,66,24,"['RW', 'ST']"
204638,83,83,112172.0,Bundesliga,Hungary,58,53,54,53,58,59,66,59,73,79,73,76,83,76,22,[]
205498,83,83,1.0,Premier League,Italy,72,75,75,75,80,79,83,79,79,83,79,77,75,77,21,['CM']
205693,83,83,22.0,Bundesliga,Côte d'Ivoire,83,73,79,73,79,75,75,75,64,66,64,64,67,64,19,[]
205988,83,83,11.0,Premier League,England,74,76,75,76,78,80,81,80,83,83,83,83,83,83,19,['CB']
208093,83,83,483.0,La Liga,Spain,83,81,82,81,83,83,79,83,68,66,68,65,61,65,23,['RM']
208333,83,83,22.0,Bundesliga,Germany,82,77,79,77,82,81,83,81,83,83,83,83,83,83,22,['CB']
208574,83,83,45.0,Serie A,Serbia,80,81,80,81,83,83,83,83,83,80,83,81,76,81,23,['LW']
210324,83,83,32.0,Bundesliga,Germany,80,81,81,81,83,83,83,83,79,78,79,75,69,75,19,"['RM', 'LM']"
210406,83,83,48.0,Serie A,Poland,80,82,82,82,83,83,83,83,81,80,81,79,73,79,20,['CAM']
210413,83,83,46.0,Serie A,Italy,61,58,59,58,63,63,68,63,75,80,75,78,83,78,20,[]
216352,83,83,112139.0,Pro League,Croatia,76,76,76,76,81,80,83,80,83,83,83,83,82,83,20,['CM']
216547,83,83,234.0,Liga Portugal,Portugal,79,83,83,83,83,83,80,83,72,67,72,69,56,69,20,['RM']
216594,83,83,449.0,La Liga,France,81,82,82,82,83,83,80,83,67,66,67,62,57,62,23,[]
220834,83,83,73.0,Ligue 1,Spain,81,82,81,82,83,83,81,83,69,66,69,65,56,65,21,[]
224179,83,83,449.0,La Liga,Spain,83,75,79,75,79,76,73,76,58,61,58,56,58,56,23,[]
230481,83,83,383.0,Serie A,Brazil,81,83,82,83,83,83,80,83,68,64,68,63,53,63,23,['RM']
248243,82,89,243.0,La Liga,France,76,78,77,78,82,82,83,82,83,84,83,82,81,82,21,"['CM', 'LB']"
234577,82,88,236.0,Liga Portugal,Portugal,33,31,34,31,40,36,43,36,30,37,30,29,30,29,83,[]
241461,82,88,241.0,La Liga,Spain,83,82,82,82,85,84,78,84,64,61,64,60,53,60,23,"['RW', 'ST']"
251517,82,88,10.0,Premier League,Croatia,70,68,69,68,72,74,76,74,80,82,80,82,85,82,19,['LB']
253072,82,88,9.0,Premier League,Uruguay,85,79,80,79,81,81,76,81,67,65,67,64,62,64,23,['LW']
233486,82,87,457.0,La Liga,Spain,53,50,51,50,55,57,64,57,73,78,73,76,84,76,22,[]
235790,82,87,1.0,Premier League,Germany,84,81,82,81,85,84,81,84,68,66,68,65,59,65,20,"['RW', 'ST']"
252145,82,87,73.0,Ligue 1,Portugal,74,76,75,76,77,79,78,79,82,79,82,82,79,82,20,['LWB']
222077,82,86,45.0,Serie A,Italy,75,75,76,75,80,79,83,79,81,83,81,80,80,80,21,['CM']
229558,82,86,21.0,Bundesliga,France,67,65,65,65,69,70,73,70,77,81,77,79,85,79,20,[]
232488,82,86,18.0,Premier League,Argentina,64,60,60,60,64,65,68,65,76,80,76,78,85,78,20,[]
233049,82,86,11.0,Premier League,England,75,82,80,82,85,84,78,84,64,59,64,59,45,59,21,['LM']
233084,82,86,240.0,La Liga,Argentina,75,78,77,78,79,81,79,81,83,80,83,82,78,82,20,"['RWB', 'RM']"
236772,82,86,9.0,Premier League,Hungary,81,82,82,82,84,84,79,84,64,61,64,59,49,59,19,[]
243245,82,86,234.0,Liga Portugal,Turkey,75,78,78,78,82,81,84,81,79,81,79,76,73,76,18,['CAM']
243580,82,86,112172.0,Bundesliga,Belgium,84,80,81,80,80,81,72,81,60,56,60,57,52,57,20,[]
226268,82,85,44.0,Serie A,Italy,75,79,78,79,81,82,82,82,82,80,82,80,75,80,18,"['LM', 'CB']"
227535,82,85,18.0,Premier League,Uruguay,75,77,77,77,81,81,84,81,82,84,82,81,80,81,20,['CDM']
236401,82,85,21.0,Bundesliga,Morocco,76,79,78,79,81,82,82,82,83,81,83,82,78,82,20,[]
240091,82,85,18.0,Premier League,Italy,26,23,26,23,30,27,30,27,24,27,24,24,25,24,83,[]
240950,82,85,237.0,Liga Portugal,Portugal,79,82,82,82,85,84,83,84,75,74,75,71,63,71,21,"['RW', 'CM']"
244369,82,85,110062.0,La Liga,Ukraine,77,81,80,81,83,83,78,83,68,65,68,64,55,64,18,"['CM', 'CAM']"
246242,82,85,110373.0,Serie A,Senegal,84,77,80,77,79,77,70,77,55,53,55,51,49,51,21,"['LW', 'CF']"
204935,82,84,7.0,Premier League,England,40,36,39,36,46,43,49,43,37,45,37,36,37,36,84,[]
216393,82,84,2.0,Premier League,Belgium,77,76,78,76,82,79,84,79,76,79,76,74,71,74,20,['CDM']
223197,82,84,1860.0,La Liga,Turkey,84,78,80,78,80,78,74,78,61,61,61,59,58,59,21,[]
223959,82,84,325.0,Super Lig,Uruguay,76,76,76,76,80,80,82,80,83,84,83,83,81,83,18,['CM']
225850,82,84,73.0,Ligue 1,France,66,64,64,64,69,71,74,71,80,83,80,81,84,81,21,[]
230938,82,84,112387.0,Pro League,Côte d'Ivoire,80,77,78,77,81,81,83,81,83,84,83,83,84,83,21,['CM']
231447,82,84,22.0,Bundesliga,Netherlands,83,82,82,82,82,83,74,83,64,59,64,61,53,61,20,['ST']
239837,82,84,9.0,Premier League,Argentina,80,80,80,80,84,84,84,84,79,79,79,77,73,77,22,"['CAM', 'CDM']"
241671,82,84,326.0,Super Lig,Croatia,36,34,35,34,42,40,44,40,36,42,36,35,36,35,84,[]
212188,82,83,112172.0,Bundesliga,Germany,83,81,82,81,82,83,74,83,64,59,64,61,53,61,22,[]
213565,82,83,240.0,La Liga,France,80,83,82,83,83,83,83,83,81,79,81,79,71,79,23,['LM']
223334,82,83,13.0,Premier League,Brazil,81,79,80,79,82,83,83,83,83,83,83,83,83,83,22,['LW']
225341,82,83,479.0,La Liga,Spain,61,60,60,60,64,66,71,66,77,81,77,78,83,78,20,[]
229237,82,83,10.0,Premier League,Switzerland,65,65,65,65,69,70,74,70,79,82,79,80,83,80,19,[]
229668,82,83,240.0,La Liga,Spain,68,68,68,68,71,73,76,73,80,82,80,81,83,81,18,[]
235410,82,83,481.0,La Liga,Morocco,83,76,79,76,79,78,72,78,61,60,61,58,56,58,22,[]
173608,82,82,243.0,La Liga,Spain,82,75,79,75,80,77,74,77,57,58,57,54,55,54,21,[]
178509,82,82,47.0,Serie A,France,82,73,78,73,80,75,77,75,59,64,59,56,60,56,21,[]
184134,82,82,481.0,La Liga,Brazil,71,69,71,69,75,73,79,73,79,82,79,80,82,80,16,['CB']
192318,82,82,1824.0,Bundesliga,Germany,78,80,80,80,82,82,82,82,75,75,75,71,63,71,20,"['CF', 'LM']"
192366,82,82,234.0,Liga Portugal,Argentina,67,60,62,60,66,66,72,66,77,82,77,79,82,79,21,[]
196978,82,82,13.0,Premier League,England,82,78,80,78,80,78,74,78,62,62,62,60,58,60,20,[]
198176,82,82,44.0,Serie A,Netherlands,60,60,60,60,66,65,73,65,77,81,77,79,82,79,22,[]
199434,82,82,326.0,Super Lig,Serbia,82,81,81,81,82,82,82,82,68,68,68,63,58,63,23,"['CF', 'RW']"
199482,82,82,66.0,Ligue 1,Portugal,36,32,33,32,36,36,35,36,34,35,34,34,34,34,82,[]
